"freq","word_input","word_pred"
788,"i got","to"
788,"as well","as"
788,"i live","in"
787,"having a","great"
786,"in the","first"
785,"check out","my"
785,"the last","time"
784,"i'm not","a"
784,"you are","not"
783,"i thought","you"
783,"a good","thing"
780,"in the","next"
780,"me want","to"
779,"the way","you"
779,"get to","see"
779,"the world","is"
775,"i think","that"
775,"the best","of"
774,"i should","be"
773,"make it","to"
771,"up for","the"
771,"be the","best"
771,"it's gonna","be"
769,"why do","you"
769,"just had","a"
768,"was a","good"
768,"but i","can't"
767,"it should","be"
767,"for the","new"
766,"to tell","you"
766,"what happened","to"
764,"have a","wonderful"
763,"this is","my"
763,"know what","to"
763,"to work","with"
762,"i could","be"
760,"look like","a"
759,"in order","to"
757,"but it","was"
757,"can do","it"
757,"what you","do"
757,"just saw","a"
757,"i was","thinking"
755,"i'll be","there"
755,"great way","to"
755,"i know","it"
753,"of the","night"
751,"sorry to","hear"
750,"it comes","to"
749,"to go","back"
748,"in the","face"
747,"seems to","be"
747,"you should","be"
746,"and thank","you"
745,"i need","some"
743,"chance to","win"
743,"here we","go"
742,"feel like","a"
741,"that is","the"
740,"the hunger","games"
736,"to come","to"
736,"it was","so"
735,"forward to","your"
735,"to be","an"
734,"for the","rest"
734,"join us","for"
733,"come to","the"
733,"like to","see"
733,"i was","like"
732,"i know","it's"
731,"for your","support"
731,"in the","studio"
731,"day of","the"
730,"the other","day"
730,"listening to","the"
727,"excited to","be"
727,"i'll have","to"
727,"what you","want"
726,"what's going","on"
726,"you on","the"
726,"in the","past"
725,"i know","i'm"
724,"how do","i"
722,"i was","going"
722,"that you","are"
722,"i feel","so"
720,"today is","the"
719,"to be","at"
717,"what's your","favorite"
717,"it makes","me"
715,"i got","my"
715,"not sure","if"
714,"to win","a"
713,"you like","it"
712,"want me","to"
712,"for some","reason"
712,"what it","is"
711,"i know","what"
710,"want you","to"
708,"i look","forward"
707,"with all","the"
707,"just found","out"
707,"best way","to"
706,"i miss","my"
706,"tonight at","the"
704,"is your","favorite"
704,"that i","am"
702,"i know","that"
702,"you for","following"
702,"i was","there"
699,"all of","us"
699,"when you","are"
697,"thought i","was"
697,"need to","do"
697,"sorry for","the"
697,"keep it","up"
696,"and have","a"
696,"i hate","it"
696,"did you","see"
694,"mothers day","to"
694,"you have","the"
693,"i have","an"
693,"would you","like"
693,"all over","the"
692,"i cant","wait"
692,"you like","to"
691,"i just","don't"
691,"but i","love"
691,"don't even","know"
689,"i'm so","excited"
687,"have you","ever"
686,"last night","i"
686,"back to","work"
685,"to you","and"
685,"i don't","wanna"
684,"if you","love"
683,"are you","in"
683,"in the","car"
683,"are in","the"
683,"about to","go"
682,"at a","time"
682,"if you","like"
682,"do the","same"
681,"we can","do"
681,"in the","city"
680,"in the","us"
680,"up with","the"
678,"you go","to"
678,"of all","time"
677,"a good","idea"
677,"and i","was"
677,"in san","diego"
677,"it was","the"
676,"i wish","you"
676,"i dont","know"
676,"excited for","the"
676,"to wake","up"
675,"mother's day","to"
674,"really need","to"
674,"know what","i"
673,"makes me","feel"
673,"have a","lot"
672,"you know","how"
672,"nice to","see"
672,"in the","future"
671,"you need","a"
671,"wanna go","to"
671,"don't know","if"
671,"right now","i"
671,"to do","that"
670,"i haven't","been"
669,"learn how","to"
668,"for more","info"
665,"us know","if"
665,"ready for","a"
664,"is not","the"
663,"went to","the"
663,"waiting for","the"
663,"the people","who"
662,"to be","back"
661,"go to","school"
660,"up with","a"
659,"i still","have"
658,"i like","that"
658,"it is","not"
656,"next to","me"
655,"for following","us"
655,"in new","york"
655,"look at","the"
655,"i hope","i"
654,"the name","of"
653,"made my","day"
652,"in the","last"
651,"i woke","up"
651,"glad to","see"
650,"this is","why"
648,"to hear","it"
648,"are you","a"
647,"good luck","with"
647,"the best","way"
646,"i will","never"
646,"i was","at"
644,"to do","the"
644,"to the","gym"
643,"i should","have"
643,"to see","how"
642,"wait to","hear"
641,"feel like","i'm"
641,"so you","can"
641,"if you","were"
640,"and i","just"
639,"out in","the"
639,"now i","have"
638,"i really","need"
638,"to make","the"
638,"one of","them"
636,"first time","in"
636,"to be","able"
636,"off to","the"
634,"to go","home"
634,"i am","the"
634,"has been","a"
634,"if you","do"
633,"i got","the"
633,"for the","love"
632,"out on","the"
631,"the best","thing"
631,"the same","way"
631,"a long","day"
631,"and i","can't"
630,"will always","be"
630,"love it","when"
630,"so much","better"
629,"in the","end"
628,"the only","way"
628,"good to","be"
628,"a great","week"
628,"you think","of"
628,"of all","the"
627,"of the","season"
627,"trying to","figure"
627,"all of","your"
626,"glad you","enjoyed"
625,"it on","the"
625,"on my","mind"
624,"come back","to"
624,"a ton","of"
624,"at least","i"
623,"to get","your"
622,"to hear","about"
622,"hate it","when"
622,"make it","happen"
622,"we'd love","to"
621,"have the","best"
620,"had a","blast"
620,"if you","can't"
620,"if you","haven't"
619,"that i","can"
616,"just need","to"
616,"about to","get"
615,"you think","you"
614,"the time","to"
614,"is better","than"
614,"all i","want"
613,"you know","the"
612,"it's hard","to"
611,"give you","a"
611,"on the","new"
611,"just woke","up"
611,"a great","night"
611,"to seeing","you"
610,"i could","have"
610,"on my","phone"
609,"i can't","even"
609,"is my","favorite"
609,"the top","of"
609,"i hate","the"
608,"a shout","out"
607,"at this","point"
606,"i try","to"
606,"so glad","you"
606,"if you","think"
605,"have a","new"
603,"follow me","on"
603,"to do","something"
603,"to make","sure"
603,"you are","in"
602,"see you","on"
602,"if you","could"
601,"to the","next"
601,"you have","no"
600,"up the","good"
600,"i'm in","the"
600,"that was","the"
599,"a picture","of"
599,"thank you","and"
598,"can you","please"
598,"how did","you"
597,"i really","don't"
597,"to hang","out"
596,"at the","moment"
595,"going to","go"
594,"we're going","to"
593,"side of","the"
593,"in the","office"
593,"that's why","i"
592,"you and","i"
591,"as good","as"
591,"thanks to","the"
590,"i don't","understand"
590,"love to","hear"
590,"you please","follow"
589,"up to","the"
589,"not a","good"
589,"welcome to","twitter"
589,"nothing to","do"
589,"the power","of"
589,"to pick","up"
587,"i hate","you"
586,"i will","not"
585,"are you","guys"
584,"you have","an"
583,"want to","hear"
583,"me and","i"
582,"and a","half"
581,"to have","to"
581,"to all","who"
581,"follow me","and"
581,"i hate","that"
580,"day in","the"
580,"some of","my"
579,"on the","bus"
579,"makes me","want"
579,"you got","it"
578,"is going","on"
578,"just got","back"
577,"get rid","of"
577,"have you","seen"
577,"but i","will"
577,"to you","too"
576,"to do","is"
575,"to say","that"
575,"of course","i"
575,"to start","the"
575,"way to","the"
575,"don't know","why"
575,"i won't","be"
575,"a good","night"
575,"so much","i"
575,"but it","is"
574,"all i","can"
573,"what would","you"
573,"but i'm","not"
572,"will not","be"
572,"thank god","for"
572,"being able","to"
572,"in the","air"
572,"the difference","between"
572,"need to","stop"
571,"for the","best"
570,"i like","your"
570,"the good","work"
570,"might as","well"
569,"this is","not"
569,"you don't","want"
569,"to look","at"
569,"i wonder","what"
568,"to be","there"
567,"one of","your"
566,"out for","the"
566,"time to","go"
566,"a bit","of"
565,"going to","make"
565,"way to","start"
565,"i get","it"
565,"good for","you"
565,"how about","you"
565,"be one","of"
564,"is having","a"
563,"he is","a"
563,"would be","the"
563,"yes i","am"
562,"give us","a"
562,"i can","be"
561,"i want","you"
561,"a few","weeks"
560,"can make","it"
560,"it's a","great"
560,"but i","know"
560,"was the","best"
560,"in a","long"
560,"i love","her"
559,"go to","a"
559,"it has","been"
559,"to hear","from"
559,"to get","up"
559,"please tell","me"
559,"u have","a"
557,"in honor","of"
557,"on the","other"
557,"need to","know"
557,"here i","come"
556,"are you","coming"
556,"i think","my"
556,"who came","out"
556,"top of","the"
556,"i know","the"
555,"but if","you"
555,"to get","on"
555,"it's a","good"
555,"in the","game"
555,"i just","finished"
555,"hang out","with"
554,"if i","don't"
554,"is just","a"
554,"the way","i"
554,"what you","are"
553,"happy to","be"
552,"i love","when"
551,"this is","what"
551,"i told","you"
550,"a few","hours"
550,"way to","get"
549,"glad to","be"
548,"on top","of"
548,"good to","know"
548,"me i","love"
548,"out how","to"
547,"i wonder","how"
547,"is that","a"
547,"be with","you"
547,"much as","i"
547,"back on","the"
546,"of your","life"
546,"last night","and"
546,"cant wait","for"
545,"if it","was"
545,"of the","time"
544,"love you","and"
544,"in the","rain"
543,"thanks for","being"
542,"we hope","you"
542,"but i","still"
542,"i really","like"
542,"you very","much"
541,"going to","sleep"
541,"made it","to"
539,"we have","the"
539,"yes it","is"
538,"to my","new"
538,"at the","gym"
538,"have to","wait"
536,"i'll be","in"
535,"we are","going"
535,"for a","good"
535,"such a","good"
535,"on the","floor"
534,"had no","idea"
534,"come up","with"
534,"love you","guys"
533,"you as","well"
533,"how can","i"
533,"to tell","me"
532,"do you","do"
532,"i wanna","see"
532,"is the","first"
532,"be back","in"
532,"are looking","for"
531,"great to","meet"
531,"glad you","like"
531,"you are","doing"
531,"i haven't","seen"
531,"for the","great"
531,"up for","a"
530,"i think","they"
530,"please please","please"
529,"was in","the"
529,"we can","help"
529,"be a","part"
528,"they need","to"
528,"last time","i"
528,"of the","game"
527,"in the","mail"
527,"i didn't","get"
527,"you in","a"
527,"to take","the"
527,"more than","a"
526,"i want","some"
526,"you get","to"
526,"is it","just"
525,"am i","the"
525,"i need","more"
525,"so much","more"
525,"think about","it"
524,"me on","twitter"
524,"we can","get"
524,"my mom","is"
524,"it's time","for"
524,"time for","the"
523,"going back","to"
522,"the world","to"
522,"so hard","to"
522,"and i","think"
522,"for all","your"
522,"i love","him"
522,"i just","had"
521,"just saw","the"
521,"me know","when"
521,"last night","was"
521,"do i","have"
521,"where do","you"
520,"i had","the"
520,"to see","that"
520,"we are","all"
520,"like a","good"
520,"i did","not"
519,"when i","see"
519,"we are","so"
519,"get to","the"
518,"hanging out","with"
518,"in item","above"
517,"how was","your"
517,"i the","only"
517,"you can","be"
517,"night at","the"
517,"what the","fuck"
516,"no idea","what"
516,"what i","do"
516,"a few","more"
514,"the last","day"
514,"can't wait","till"
514,"to come","back"
513,"would be","great"
513,"a lot","more"
513,"this is","going"
512,"i might","be"
511,"so happy","to"
511,"trying to","make"
511,"i will","have"
510,"need a","new"
509,"not sure","what"
509,"what are","the"
509,"what i","want"
508,"and i","know"
508,"i just","need"
507,"to come","out"
507,"just trying","to"
506,"and we","will"
505,"incorporated in","item"
504,"is why","i"
504,"does that","mean"
503,"we can't","wait"
503,"and get","a"
503,"i don't","need"
503,"i wake","up"
503,"o to","my"
503,"one of","these"
502,"and now","i"
502,"to go","out"
502,"out of","a"
502,"is the","new"
502,"and it","is"
502,"or is","it"
501,"to those","who"
501,"if you're","not"
501,"you are","going"
501,"and if","you"
501,"will never","be"
501,"in need","of"
500,"are having","a"
500,"i wanna","be"
500,"that moment","when"
500,"in the","day"
500,"i hope","to"
500,"the new","year"
499,"i'm ready","to"
499,"just finished","a"
499,"a pair","of"
498,"make it","a"
498,"on the","show"
498,"live in","the"
498,"thank you","very"
497,"send me","a"
497,"i don't","see"
496,"coming to","the"
496,"got a","new"
496,"day at","the"
496,"what you","have"
495,"is coming","to"
495,"is it","that"
495,"need to","make"
495,"for the","last"
495,"i can't","get"
495,"in a","good"
494,"a lot","to"
494,"are you","ready"
494,"is trying","to"
494,"my name","is"
494,"to make","me"
494,"but i","just"
494,"i may","have"
493,"i can","go"
493,"it feels","like"
493,"there is","nothing"
493,"and all","the"
492,"lot of","people"
492,"was one","of"
492,"you to","all"
491,"it's all","about"
491,"i was","so"
491,"there are","no"
490,"know if","i"
490,"you can","make"
490,"hey thanks","for"
490,"that's a","good"
490,"to one","of"
489,"on how","to"
489,"not to","be"
489,"glad you","liked"
488,"to see","your"
487,"you get","the"
487,"birthday to","my"
487,"if you","ever"
487,"that is","all"
487,"it seems","like"
487,"to hit","the"
486,"the day","i"
485,"to do","this"
485,"to deal","with"
485,"a big","fan"
484,"how many","times"
484,"we need","a"
482,"to be","so"
482,"be part","of"
481,"and this","is"
481,"call me","maybe"
481,"i have","never"
481,"all of","them"
481,"i know","how"
481,"just got","home"
480,"thought you","were"
480,"don't think","i"
480,"if i","have"
480,"have been","a"
479,"last night","at"
479,"you must","be"
479,"of the","month"
479,"wish me","luck"
479,"how i","feel"
478,"of the","new"
478,"have the","same"
478,"my life","is"
478,"that i","don't"
478,"you thank","you"
478,"stop by","and"
478,"would it","be"
478,"who do","you"
478,"might have","to"
478,"on the","same"
478,"tell me","what"
477,"how to","get"
477,"middle of","the"
477,"today is","a"
477,"to me","i"
477,"need to","start"
477,"for you","and"
476,"you make","me"
476,"i had","no"
476,"a great","show"
476,"got back","from"
476,"to know","what"
476,"rt thanks","for"
476,"to go","on"
476,"sign up","for"
476,"a great","job"
476,"to think","about"
476,"if you","know"
475,"get a","chance"
475,"a piece","of"
475,"in this","world"
475,"the beginning","of"
475,"in the","mood"
474,"does anyone","know"
474,"talking about","the"
474,"for coming","out"
474,"that i","was"
474,"soon as","i"
474,"they have","a"
473,"have so","much"
473,"i just","can't"
473,"it to","be"
473,"you should","have"
472,"i've ever","seen"
472,"not in","the"
472,"that you","have"
472,"and of","course"
471,"congrats on","your"
471,"i think","he"
471,"ready to","get"
471,"but i","can"
471,"go to","work"
471,"out of","this"
469,"my new","followers"
469,"so many","people"
469,"item above","pp"
468,"could be","a"
468,"for the","rts"
468,"i just","love"
468,"we look","forward"
468,"that you","can"
468,"i miss","the"
468,"heading to","the"
468,"to say","i"
467,"me on","the"
467,"who are","you"
466,"we would","love"
466,"i just","realized"
465,"down to","the"
465,"a wonderful","day"
465,"i hope","the"
465,"stuck in","my"
465,"the only","person"
465,"in my","room"
464,"in the","back"
464,"to get","you"
464,"forward to","a"
463,"like to","be"
463,"a great","way"
463,"is so","much"
463,"don't get","it"
463,"to buy","a"
463,"want to","make"
463,"away from","the"
463,"we will","have"
462,"can be","a"
462,"around the","corner"
462,"you never","know"
462,"be the","same"
462,"i have","ever"
461,"i swear","i"
461,"for a","week"
461,"what is","it"
461,"i got","it"
460,"the fuck","up"
460,"not at","all"
459,"that is","so"
459,"out of","it"
459,"to have","the"
459,"take a","look"
459,"love to","have"
459,"would be","so"
459,"proud to","be"
458,"to start","a"
458,"better than","the"
458,"come out","and"
458,"life is","a"
458,"will be","back"
458,"just got","my"
457,"how to","make"
457,"catching up","on"
457,"to a","great"
457,"for the","kind"
456,"i agree","with"
456,"at some","point"
455,"out of","your"
455,"i look","like"
455,"will have","a"
455,"it was","just"
455,"everyone has","a"
455,"so i","could"
454,"even though","i"
454,"working on","the"
454,"might be","a"
454,"is looking","for"
454,"may not","be"
453,"no need","to"
453,"i could","go"
453,"to the","new"
453,"not so","much"
452,"i'm not","going"
452,"you don't","like"
451,"out for","a"
451,"but i","do"
451,"a year","old"
451,"figure out","how"
451,"out of","town"
450,"i can't","stand"
450,"the back","of"
450,"i can","say"
450,"going to","try"
450,"i got","you"
450,"is the","worst"
450,"is the","last"
450,"how to","use"
449,"how can","you"
449,"be a","long"
448,"if we","can"
448,"are you","still"
448,"good morning","everyone"
447,"if you","get"
447,"you if","you"
447,"hate when","people"
447,"meant to","be"
446,"what's up","with"
446,"have to","work"
446,"oh my","gosh"
446,"fall in","love"
446,"i can","tell"
445,"wants to","be"
445,"good to","hear"
445,"a matter","of"
445,"how have","you"
445,"i didn’t","have"
444,"not sure","how"
444,"do you","get"
444,"everyone who","came"
444,"and i","can"
444,"think i","have"
444,"not the","only"
444,"over and","over"
444,"been a","long"
444,"who i","am"
443,"listen to","the"
443,"i really","hope"
443,"would be","awesome"
443,"you are","welcome"
442,"had a","dream"
442,"its gonna","be"
442,"where is","the"
441,"so glad","to"
441,"no one","is"
441,"need to","find"
441,"i have","my"
441,"i think","of"
441,"for a","reason"
440,"where you","are"
440,"be the","first"
440,"i love","to"
439,"you are","my"
439,"the one","who"
439,"got to","be"
439,"trying to","be"
439,"think of","the"
439,"trying to","find"
439,"i get","the"
438,"what a","beautiful"
437,"in high","school"
437,"can help","you"
437,"i was","on"
437,"come see","us"
437,"you want","me"
437,"the super","bowl"
437,"in the","new"
436,"i think","about"
436,"that will","be"
436,"this will","be"
