"word","freq"
"airport",1854
"stick",1853
"jack",1850
"scary",1849
"follower",1848
"inspiration",1847
"acting",1844
"fabulous",1842
"laughing",1841
"current",1841
"original",1839
"teachers",1837
"grand",1834
"fuckin",1833
"tonight's",1832
"known",1831
"campaign",1829
"science",1829
"guest",1826
"portland",1826
"weight",1826
"ive",1823
"sometime",1822
"period",1822
"asap",1821
"merry",1819
"bringing",1815
"losing",1815
"hill",1815
"member",1812
"hahah",1811
"pro",1810
"chill",1808
"response",1808
"moved",1807
"pray",1806
"quit",1806
"products",1799
"thankful",1799
"wat",1799
"main",1797
"decision",1797
"id",1796
"total",1795
"l",1792
"woo",1791
"married",1791
"scene",1790
"helps",1788
"university",1787
"row",1787
"mall",1787
"romney",1786
"schools",1783
"cost",1782
"golf",1781
"famous",1780
"talked",1780
"ad",1779
"joy",1779
"beats",1779
"hunger",1778
"wrote",1777
"french",1777
"tix",1773
"whether",1772
"surprise",1768
"added",1766
"form",1766
"comment",1766
"usa",1765
"bigger",1763
"peeps",1760
"decide",1759
"jump",1758
"character",1758
"industry",1756
"mac",1755
"lazy",1753
"q",1753
"mama",1753
"third",1748
"lights",1746
"yum",1745
"goals",1745
"cleaning",1745
"consider",1741
"normal",1739
"shoutout",1737
"prom",1737
"butt",1734
"plays",1734
"fox",1733
"atlanta",1733
"role",1732
"projects",1729
"bacon",1729
"bottle",1729
"window",1724
"coast",1724
"hmm",1723
"blow",1723
"holding",1721
"al",1720
"perhaps",1719
"stopped",1718
"ends",1714
"cash",1714
"pink",1714
"drama",1709
"common",1709
"rule",1707
"grade",1706
"tree",1705
"epic",1702
"xoxo",1701
"receive",1699
"dying",1696
"rules",1696
"likely",1696
"ed",1696
"mail",1696
"fav",1693
"sunny",1692
"instagram",1690
"math",1687
"moon",1687
"truck",1683
"annual",1682
"hitting",1681
"none",1681
"we'd",1678
"anytime",1676
"rose",1676
"philly",1675
"avengers",1670
"husband",1669
"imma",1669
"fingers",1665
"blame",1664
"hockey",1663
"camp",1660
"obviously",1658
"letting",1656
"turns",1653
"launch",1653
"cookies",1652
"opinion",1651
"baltimore",1650
"size",1647
"talented",1644
"location",1643
"orange",1642
"general",1639
"defense",1638
"discussion",1638
"knowledge",1638
"camera",1637
"feature",1636
"begins",1635
"client",1634
"whenever",1633
"names",1633
"holidays",1632
"ground",1632
"parking",1629
"soccer",1629
"growing",1628
"checked",1628
"grab",1622
"girlfriend",1622
"fighting",1621
"pissed",1620
"corner",1619
"recommend",1618
"excuse",1618
"smith",1618
"tim",1617
"wishes",1617
"falling",1617
"noticed",1616
"private",1615
"follows",1615
"nah",1613
"awards",1612
"heads",1609
"campus",1608
"cancer",1608
"waste",1607
"apps",1605
"garden",1603
"higher",1603
"dang",1602
"himself",1601
"homie",1600
"simply",1600
"alex",1595
"confused",1593
"customers",1592
"xo",1592
"midnight",1589
"hits",1589
"natural",1584
"harry",1584
"jus",1583
"skills",1583
"kobe",1583
"closer",1579
"biz",1578
"changing",1577
"former",1577
"gotten",1575
"noon",1574
"awww",1572
"selling",1571
"bank",1570
"quiet",1569
"celebrating",1569
"scott",1569
"jim",1568
"older",1568
"feelings",1568
"doin",1568
"certain",1567
"invite",1567
"california",1566
"sigh",1566
"ring",1564
"runs",1563
"clients",1563
"standing",1563
"taylor",1562
"outta",1561
"bands",1560
"nick",1558
"ten",1558
"comments",1558
"madison",1558
"fill",1557
"explain",1555
"battle",1555
"position",1550
"co",1549
"large",1547
"lake",1547
"involved",1546
"amen",1546
"walked",1544
"productive",1543
"yrs",1542
"clearly",1542
"upcoming",1538
"jones",1538
"plane",1537
"wisconsin",1535
"kitchen",1534
"button",1534
"cross",1534
"swag",1532
"correct",1529
"regular",1529
"bob",1526
"ohio",1526
"degrees",1521
"lame",1521
"halloween",1519
"storm",1519
"anywhere",1519
"spam",1518
"arts",1517
"situation",1517
"hahahaha",1517
"six",1516
"mostly",1516
"spanish",1514
"spirit",1514
"states",1511
"ridiculous",1510
"audience",1507
"status",1504
"memories",1503
"inspired",1503
"itunes",1503
"youth",1502
"hosting",1500
"shame",1497
"dimora",1497
"jam",1496
"click",1496
"language",1495
"awful",1494
"jackson",1494
"speech",1494
"yoga",1493
"received",1492
"hasn't",1491
"machine",1487
"topic",1486
"they'll",1486
"fellow",1485
"anniversary",1485
"posting",1484
"josh",1480
"ca",1479
"central",1478
"upset",1477
"cousin",1476
"hollywood",1476
"interest",1474
"graduation",1474
"flying",1474
"semester",1471
"island",1471
"written",1470
"7pm",1470
"comedy",1470
"land",1469
"sky",1469
"u.s",1469
"although",1468
"several",1466
"diet",1465
"feedback",1465
"candy",1464
"nite",1464
"30pm",1463
"hat",1462
"nd",1461
"marathon",1461
"5th",1460
"hop",1460
"legs",1459
"tells",1456
"balls",1455
"cheap",1451
"wings",1450
"term",1450
"difficult",1449
"robert",1449
"ma",1449
"dope",1449
"tag",1448
"performing",1448
"bird",1448
"skin",1448
"ms",1446
"lack",1446
"pair",1446
"lies",1445
"senior",1445
"bottom",1444
"professional",1443
"created",1442
"download",1440
"kno",1439
"recording",1437
"giants",1436
"female",1434
"seat",1433
"specials",1432
"upon",1432
"cooking",1432
"magazine",1430
"admit",1429
"cast",1429
"waking",1426
"he'll",1425
"international",1424
"rush",1424
"father",1423
"avoid",1422
"bulls",1421
"seconds",1421
"sf",1420
"appreciated",1420
"thomas",1420
"honest",1419
"catching",1419
"attending",1417
"numbers",1416
"square",1416
"sis",1416
"doesnt",1415
"direct",1414
"tryna",1412
"santa",1412
"honey",1412
"mission",1410
"goodness",1409
"where's",1407
"impossible",1405
"author",1405
"recently",1404
"shake",1404
"tebow",1404
"desk",1403
"menu",1403
"helped",1401
"fucked",1398
"wind",1398
"brings",1397
"raise",1397
"posts",1397
"force",1396
"soup",1394
"guitar",1394
"martin",1394
"host",1393
"burger",1392
"theater",1392
"taco",1391
"sandwich",1390
"strange",1390
"paying",1389
"h",1389
"ipod",1388
"print",1387
"kevin",1387
"miller",1386
"cars",1385
"plenty",1385
"heaven",1385
"hospital",1383
"silly",1383
"thunder",1382
"culture",1382
"lebron",1380
"curious",1380
"heck",1380
"bright",1380
"rocks",1379
"harder",1379
"turning",1379
"purchase",1378
"salad",1378
"lived",1377
"workshop",1377
"whoa",1376
"talks",1374
"texting",1373
"lounge",1373
"production",1372
"milk",1372
"angry",1371
"rights",1371
"fool",1370
"chick",1370
"tonite",1370
"potential",1369
"8pm",1369
"supporting",1368
"leadership",1368
"attack",1368
"ben",1367
"adam",1366
"tears",1366
"windows",1366
"solid",1365
"trend",1364
"creating",1363
"hip",1362
"according",1360
"fest",1359
"__",1358
"sort",1358
"push",1357
"nervous",1356
"joining",1352
"yummy",1352
"tool",1350
"enter",1350
"oil",1349
"reminds",1349
"director",1348
"los",1348
"mi",1346
"ahh",1345
"adorable",1345
"cook",1344
"lookin",1344
"security",1343
"brothers",1343
"unfortunately",1342
"competition",1342
"exercise",1340
"filled",1339
"pages",1337
"august",1337
"yu",1336
"abt",1336
"budget",1335
"accept",1335
"dnt",1335
"failure",1334
"weren't",1334
"hurry",1331
"tx",1330
"include",1326
"willing",1326
"figured",1326
"source",1325
"moves",1325
"sugar",1324
"tony",1324
"bbq",1324
"sum",1323
"effort",1322
"studying",1322
"prayers",1319
"freedom",1318
"brunch",1318
"kept",1318
"lesson",1317
"sleepy",1317
"mayo",1315
"reasons",1314
